Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx
   3405988677241799040	Hyades  	072.50335	+16.41194	10.176	20.250	 0.014
   3406094750050845696	Hyades  	072.40278	+17.03294	14.786	19.812	 0.023
   3311148828615843328	Hyades  	065.88521	+14.67040	 8.877	21.451	 0.043
   3311492803955469696	Hyades  	063.79388	+14.39838	10.930	20.844	 0.023
   3311179340063437952	Hyades  	066.52006	+15.04129	11.467	21.005	 0.116
   3311514210073309056	Hyades  	063.60736	+14.62497	 8.290	20.259	 0.068
   3311173120950799872	Hyades  	066.46066	+15.00247	14.779	21.216	 0.017
   3311179340062227200	Hyades  	066.52037	+15.04080	14.713	20.723	 0.104
   3311464182294287104	Hyades  	064.48200	+14.54619	13.772	19.074	 0.022
   3311426420941869952	Hyades  	064.10650	+14.17132	13.935	25.132	 0.019
   3311229745799686912	Hyades  	065.75677	+15.22812	15.172	20.809	 0.050
   3311232425859274368	Hyades  	065.62765	+15.22017	13.466	18.167	 0.028
   3311120722349948672	Hyades  	065.23410	+14.85950	15.158	20.680	 0.060
   3406734906335151872	Hyades  	072.70775	+18.14104	16.393	21.445	 0.027
   3406697179343851136	Hyades  	072.29651	+17.71533	13.014	16.999	 0.023
   3406786445943961088	Hyades  	071.90695	+18.25858	 8.340	20.721	 0.091
    146160558879786624	Hyades  	066.33394	+23.10849	12.040	18.688	 0.010
    146057617101593856	Hyades  	068.27140	+23.55483	14.943	19.680	 0.127
    149956519694104704	Hyades  	063.70975	+24.37685	15.743	19.723	 0.018
   3289131211348832000	Hyades  	070.44565	+07.27570	14.513	18.779	 0.055
   3395542393360089728	Hyades  	078.10085	+18.40221	12.660	18.641	 0.047
   3395542393361639424	Hyades  	078.10043	+18.40228	12.578	18.873	 0.063
    145664777917536512	Hyades  	066.03146	+22.11868	10.499	21.828	 0.011
    145727729254950912	Hyades  	066.57743	+22.81338	 4.148	22.007	 0.069
    145674574739951872	Hyades  	066.34284	+22.29368	 4.113	20.771	 0.249
    145668974102570624	Hyades  	065.98972	+22.18138	13.845	23.152	 0.050
     48455894049191424	Hyades  	063.62479	+18.72989	13.221	20.840	 0.042
     48482454126911360	Hyades  	063.68891	+19.06384	14.995	19.105	 0.023
     48509186003340416	Hyades  	062.77604	+18.92897	14.219	19.738	 0.015
     45788547559850496	Hyades  	064.41278	+16.94773	 8.098	21.330	 0.025
     45980377978968064	Hyades  	062.37093	+17.13168	15.378	19.891	 0.047
     45968901826385024	Hyades  	062.04687	+16.87296	10.819	24.965	 0.038
     45770783575075968	Hyades  	063.89568	+16.76229	13.999	20.906	 0.038
     45789269114357632	Hyades  	064.38492	+16.94961	16.594	23.031	 0.041
     45845378567048320	Hyades  	064.00658	+16.98297	13.780	21.663	 0.053
   3410640887035452928	Hyades  	068.17102	+19.11334	10.120	19.041	 0.015
   3410639993682264960	Hyades  	068.15819	+19.04653	13.766	23.191	 0.018
    145168558871003776	Hyades  	069.27172	+22.85713	17.347	20.897	 0.042
    145218857232329472	Hyades  	069.15894	+23.04176	13.094	22.438	 0.016
   3292741835736351616	Hyades  	072.26745	+08.98126	15.979	23.361	 0.021
   3292663564251652608	Hyades  	070.21730	+09.08758	14.819	22.423	 0.018
    144574788234755200	Hyades  	067.93219	+21.15447	15.879	16.537	 0.043
    144574788234755584	Hyades  	067.93070	+21.15309	15.944	16.410	 0.037
    144663157183364864	Hyades  	067.40634	+21.66844	13.027	23.434	 0.043
    144534724778235392	Hyades  	066.69895	+21.23472	10.681	23.149	 0.013
   3412163946860515712	Hyades  	074.32730	+21.60221	15.393	16.222	 0.043
   3412131068887787776	Hyades  	074.06991	+21.36703	14.047	18.941	 0.033
     44894472808190720	Hyades  	055.48192	+18.75981	12.246	24.181	 0.021
   3310348551653256448	Hyades  	065.75005	+13.31620	12.685	18.761	 0.012
   3310478710637938560	Hyades  	064.53589	+13.33109	14.082	20.757	 0.012
   3310478710637066752	Hyades  	064.53628	+13.33126	13.955	20.805	 0.039
   3310178784482082816	Hyades  	064.67651	+12.51064	14.146	20.804	 0.021
   3310131711641618816	Hyades  	070.15459	+16.63564	16.148	20.185	 0.039
   3411434528270795648	Hyades  	069.98327	+21.49423	12.747	16.115	 0.013
     49231668222673920	Hyades  	065.38235	+21.03972	 6.671	20.466	 0.033
     49157794785448192	Hyades  	065.67910	+20.56999	13.462	21.950	 0.115
     49341619383660288	Hyades  	063.88631	+20.80752	16.022	22.923	 0.072
     49365087086285184	Hyades  	063.92733	+20.81965	 7.635	20.775	 0.065
     49341619384983936	Hyades  	063.88627	+20.80729	16.101	23.148	 0.056
     49131681384221952	Hyades  	065.44162	+20.39555	17.965	20.180	 0.094
     49131681384221184	Hyades  	065.43535	+20.40276	17.269	20.166	 0.084
     49324572659092992	Hyades  	064.23606	+20.87657	17.761	21.872	 0.092
     49407521363733632	Hyades  	064.69037	+21.03158	16.857	23.315	 0.090
   3242232470578902656	Hyades  	079.73139	+08.45406	16.561	18.167	 0.020
   3242022670016700672	Hyades  	077.41856	+08.21401	13.624	19.898	 0.043
   3241952369992171904	Hyades  	077.83085	+07.90891	10.763	17.447	 0.009
   3387573300585597184	Hyades  	079.36724	+11.79071	11.860	17.185	 0.024
   3387381646261643776	Hyades  	080.10616	+11.60976	 8.840	17.801	 0.014
    147877549363243520	Hyades  	067.73288	+24.83791	14.698	22.188	 0.016
    147908438767993216	Hyades  	068.18931	+25.09256	15.268	18.394	 0.020
     67351757289092224	Hyades  	058.17154	+25.80422	10.573	22.535	 0.022
     63395989328447232	Hyades  	055.94682	+20.85995	13.337	22.100	 0.023
     53257461329357312	Hyades  	059.80981	+22.04367	12.076	24.640	 0.027
   3282562625805170304	Hyades  	070.23872	+04.84850	15.613	16.924	 0.172
   3282226793722500224	Hyades  	069.43419	+04.90189	13.522	21.095	 0.026
   3406431406767566464	Hyades  	072.95528	+17.27360	10.852	18.387	 0.044
   3406417903390509056	Hyades  	073.09167	+17.17406	15.688	21.890	 0.041
   3406284725043872256	Hyades  	071.81275	+17.33031	17.278	22.725	 0.127
   3406380176397016576	Hyades  	071.70647	+17.74819	 9.277	20.656	 0.051
     52548241968465408	Hyades  	064.13998	+21.90730	 8.923	19.571	 0.003
     52640154268714496	Hyades  	062.65674	+21.60250	16.324	20.687	 0.068
     49968306654050944	Hyades  	058.98885	+18.43215	13.017	22.844	 0.033
   3295377880503113216	Hyades  	074.76338	+12.26240	15.075	22.494	 0.035
   3295557581935254144	Hyades  	072.19202	+11.38564	16.275	22.331	 0.054
   3312882483575093760	Hyades  	067.79636	+16.39577	13.815	20.262	 0.024
   3312960205303089664	Hyades  	067.48274	+16.91392	11.971	22.803	 0.017
   3312709379213017728	Hyades  	066.90002	+15.58909	 7.274	20.952	 0.019
   3312904233289409152	Hyades  	067.25110	+16.34622	13.095	21.362	 0.016
   3312951748510907648	Hyades  	067.49101	+16.67272	 8.853	21.897	 0.001
   3312849326426255616	Hyades  	067.64061	+16.19390	 4.707	21.867	 0.094
   3312908906213736320	Hyades  	066.92020	+16.24861	14.326	18.743	 0.028
   3312842042162993536	Hyades  	067.21905	+15.98148	11.246	22.235	 0.026
   3312744219987686144	Hyades  	067.16606	+15.87079	 3.307	20.879	 0.324
   3312921378798754304	Hyades  	067.04581	+16.47080	10.502	23.580	 0.047
     47485609397541632	Hyades  	065.66540	+18.26918	12.087	23.997	 0.023
     47620265212420096	Hyades  	064.50817	+18.25667	 7.355	21.583	 0.016
     47541100375011968	Hyades  	065.38495	+18.41744	 6.684	20.672	 0.042
     45567511362945152	Hyades  	061.93055	+16.51868	 9.599	21.479	 0.014
     45679386670867584	Hyades  	063.09125	+16.25081	12.684	28.002	 0.033
     45367056650753280	Hyades  	061.56773	+15.69804	 7.693	21.003	 0.021
     45404199528067200	Hyades  	061.04540	+15.80601	16.304	21.775	 0.087
     45506454107945344	Hyades  	062.48874	+16.37814	15.554	28.771	 0.111
   3412374060957023232	Hyades  	074.02585	+21.89781	16.193	17.078	 0.034
   3412331901556818048	Hyades  	073.99613	+21.66667	18.766	20.442	 0.134
   3412367287795107712	Hyades  	074.36252	+22.01735	16.414	18.251	 0.077
   3395180718459278464	Hyades  	078.87819	+17.43158	15.966	17.776	 0.035
   3395264423077925632	Hyades  	078.71419	+17.78703	13.500	17.571	 0.038
   3314150048683152896	Hyades  	067.87160	+17.71852	11.183	22.271	 0.031
   3314024566918614528	Hyades  	065.73421	+17.54239	 3.416	19.422	 0.082
   3314063908819076352	Hyades  	066.35478	+17.91521	10.608	21.341	 0.024
   3314232855652895104	Hyades  	068.09948	+17.75059	13.362	23.245	 0.013
   3314079508140198528	Hyades  	066.07108	+18.00279	 9.645	21.428	 0.026
   3314212068010812032	Hyades  	067.37694	+17.86303	 6.780	21.316	 0.032
   3314137846679343872	Hyades  	068.03365	+17.66435	14.009	20.932	 0.011
   3314213025787054592	Hyades  	067.38218	+17.89304	 8.731	21.844	 0.017
   3314109916508904064	Hyades  	067.20173	+17.28535	 7.686	21.476	 0.045
   3281410509417809152	Hyades  	070.44532	+04.43674	12.926	23.594	 0.019
   3281064262038614912	Hyades  	071.57871	+03.63639	10.391	22.138	 0.010
    153453550785049984	Hyades  	072.82891	+25.94229	15.614	20.803	 0.031
   3411856775094435968	Hyades  	072.09392	+20.86188	17.253	18.030	 0.060
   3411781729134007424	Hyades  	072.12430	+20.44591	16.066	16.255	 0.044
   3411758128287351808	Hyades  	073.81220	+21.36389	15.268	16.754	 0.005
   3411811317161811328	Hyades  	072.56987	+20.62563	13.155	22.080	 0.020
   3409356726172456960	Hyades  	070.13790	+18.02827	16.067	16.748	 0.045
   3409207536188836352	Hyades  	075.77426	+21.58978	 4.555	18.572	 0.067
   3409290995993067648	Hyades  	070.57881	+17.69384	13.782	19.374	 0.021
   3409379060002199168	Hyades  	071.11854	+17.85298	14.569	17.067	 0.007
   3391904178104504704	Hyades  	077.21495	+14.25305	16.893	25.633	 0.055
     57406365376348928	Hyades  	054.78056	+20.42391	13.629	28.062	 0.016
   3287167277423046272	Hyades  	067.03373	+07.94577	13.773	19.809	 0.021
   3287041726938931968	Hyades  	066.32119	+08.06775	13.440	28.855	 0.046
   3407113241415669120	Hyades  	075.88647	+18.14773	15.802	19.819	 0.085
   3407121831350730112	Hyades  	076.57525	+17.81628	 8.620	18.600	 0.004
   3413082661841179520	Hyades  	071.85126	+22.66333	16.339	19.314	 0.039
   3288997483247358592	Hyades  	071.97558	+07.37072	15.193	17.385	 0.019
   3288876846205650816	Hyades  	071.53872	+06.75007	13.589	22.491	 0.025
   3288784006192725248	Hyades  	071.82758	+06.45323	10.689	24.647	 0.022
   3299573475139651584	Hyades  	065.96179	+09.20539	11.814	22.276	 0.022
   3294081521934473216	Hyades  	071.10805	+11.14607	 5.311	22.304	 0.110
   3294248609046258048	Hyades  	070.25765	+10.99440	13.864	20.257	 0.015
     65502206932420224	Hyades  	059.86150	+23.38526	14.677	22.398	 0.014
     50327297200978176	Hyades  	060.91323	+19.45487	 9.775	20.811	 0.032
     50298125783225088	Hyades  	061.35752	+19.44201	10.834	21.144	 0.013
     50248991357476736	Hyades  	061.05386	+18.99561	15.070	18.721	 0.023
     50427387118457984	Hyades  	060.06550	+19.41000	14.704	20.853	 0.052
     50327361624037120	Hyades  	060.91238	+19.45584	14.796	20.755	 0.179
   3410787568757738752	Hyades  	068.96716	+19.79570	13.833	20.857	 0.143
   3410944730200538496	Hyades  	070.25858	+19.90922	16.210	24.439	 0.052
   3410856112139584000	Hyades  	068.80695	+20.13349	17.765	21.930	 0.092
   3230836376154368384	Hyades  	070.61660	+00.72725	17.299	21.167	 0.130
   3308433069254919424	Hyades  	070.55226	+14.14750	15.037	20.023	 0.032
   3308470968047333120	Hyades  	071.81604	+13.55727	16.178	20.338	 0.027
   3308470968047333248	Hyades  	071.81616	+13.55666	16.146	20.270	 0.063
   3308428877366857728	Hyades  	070.36633	+14.07602	12.337	21.239	 0.167
   3308501926171656832	Hyades  	072.29439	+13.81135	14.307	21.971	 0.056
   3391170490315215104	Hyades  	081.30012	+16.51645	15.415	19.185	 0.041
     51497418090942720	Hyades  	059.55956	+21.05099	15.830	21.518	 0.086
     51534045572176896	Hyades  	058.08725	+20.47796	16.501	23.812	 0.026
   3306849703791332864	Hyades  	065.99831	+11.38300	13.940	17.196	 0.014
   3306922958753764992	Hyades  	066.94246	+11.73637	 7.357	22.031	 0.011
